theta_H,phi_H,theta_V,phi_V,R,G,B
0.655871,5.919528,1.106367,5.969272,0.000495,0.000485,0.000459
0.544087,1.651349,0.796689,3.143213,1.362679,1.334208,1.263031
0.144355,1.601858,0.436601,2.282608,3.459497,3.386666,3.204587
0.258912,4.918717,0.369390,0.735782,0.921849,0.902443,0.853928
0.301310,4.424466,0.985901,3.398734,0.534206,0.523017,0.495044
0.272030,2.585207,0.475824,4.081351,0.011070,0.010836,0.010254
0.746724,4.970974,1.023776,3.814652,0.076131,0.074543,0.070571
0.682787,1.597826,1.155175,1.312958,0.829402,0.811942,0.768291
0.639013,1.658961,0.598210,2.544711,0.474047,0.464067,0.439118
0.370189,1.592470,1.179766,2.603738,5.209457,5.102350,4.834580
0.583898,5.742513,0.946831,6.038269,0.000828,0.000810,0.000767
0.017894,2.322405,0.824284,1.785673,6.529822,6.392765,6.050121
0.884798,4.533530,1.348520,4.909825,0.099837,0.097735,0.092481
0.446373,4.571374,0.514588,3.294713,0.541588,0.530187,0.501685
0.748644,1.175098,0.564564,1.630100,0.008272,0.008098,0.007662
0.442244,4.697597,0.701434,5.132858,1.317383,1.289649,1.220313
0.076055,4.536098,1.110033,4.808084,10.134844,9.927885,9.410487
0.162993,4.405889,0.315393,1.447397,1.114533,1.091070,1.032411
0.595000,4.160149,0.089875,2.159594,0.006949,0.006802,0.006437
1.174786,3.555753,1.075434,3.782874,0.000327,0.000320,0.000303
0.037769,5.752401,1.105808,2.037863,8.427707,8.262526,7.849573
0.253741,1.502399,0.806187,4.112467,6.725950,6.588389,6.244488
0.308165,4.624398,0.104511,0.330858,1.519666,1.487673,1.407690
0.779829,4.931937,1.455028,4.188812,0.130808,0.128085,0.121278
0.773709,2.495098,1.038833,2.034641,0.000551,0.000539,0.000510
0.312963,1.572052,0.157215,4.678765,2.316522,2.267754,2.145834
0.495487,4.645617,0.271912,2.440383,1.263057,1.236484,1.170051
0.229885,1.224824,1.004969,5.063331,1.655033,1.623685,1.545312
0.093803,4.795286,0.754879,0.102968,6.330669,6.197617,5.864987
0.073128,0.767761,0.795778,1.991886,1.566393,1.533481,1.451200
0.088383,5.718119,0.822660,0.780159,0.726719,0.711464,0.673327
0.418392,1.405382,0.902715,1.645007,0.445271,0.435897,0.412463
0.273188,2.459911,0.417160,0.873933,0.015178,0.014859,0.014060
0.115754,1.770174,0.256442,0.136798,2.554566,2.500786,2.366335
0.316776,4.580554,0.574417,4.004338,0.999754,0.978706,0.926088
0.260048,1.346102,0.711436,0.772926,0.759235,0.743252,0.703293
0.528792,4.653656,0.201920,4.538901,0.778983,0.762584,0.721585
0.306525,4.618083,1.172604,3.058093,9.019670,8.849102,8.422681
0.414015,4.621840,0.629198,1.366913,3.144052,3.079930,2.919623
0.549082,1.210476,0.948988,0.731510,0.027703,0.027119,0.025661
0.215592,1.616583,0.544249,1.139696,2.756557,2.698524,2.553442
0.724398,3.084150,0.951554,4.124306,0.000387,0.000378,0.000358
0.102023,1.271769,0.552423,2.790398,2.659763,2.603772,2.463796
0.119215,4.583590,0.179088,0.429096,3.011336,2.947939,2.789448
0.638534,4.299980,0.853268,4.562104,0.009582,0.009380,0.008876
0.011931,4.457912,0.141785,2.107286,3.828676,3.748073,3.546563
0.736791,1.377898,0.442673,1.189184,0.075755,0.074160,0.070173
0.706870,3.227291,0.852311,2.524917,0.000291,0.000285,0.000269
0.012863,6.073164,0.670519,5.482497,5.226185,5.116208,4.841263
0.793546,1.186928,1.138497,0.899297,0.009276,0.009081,0.008593
0.333742,5.335246,0.365420,6.189226,0.017908,0.017531,0.016588
0.064226,1.586634,1.255723,0.392536,30.560095,30.006380,28.622093
0.118371,1.821473,0.500446,1.213065,2.259546,2.211977,2.093054
0.309039,0.312895,0.246452,3.930794,0.004880,0.004778,0.004521
0.509606,6.276412,0.155695,5.094226,0.000729,0.000713,0.000675
0.158915,1.381183,0.545071,5.772337,2.590029,2.535514,2.399225
0.045896,4.845881,1.133938,0.198346,20.019781,19.627342,18.646246
0.507617,4.486206,0.121467,3.064448,0.135515,0.132662,0.125530
0.119088,4.759670,0.362933,4.559106,3.436388,3.364043,3.183180
0.550709,4.648385,1.349048,3.659971,3.063357,3.001746,2.847720
0.624421,2.097104,0.632801,1.091097,0.006057,0.005930,0.005611
0.205507,1.634336,0.250304,4.756814,2.918720,2.857274,2.703659
0.646341,1.408051,0.690419,1.456510,0.128819,0.126107,0.119327
0.006157,3.647160,0.911846,4.524796,8.714432,8.532595,8.078002
0.271010,4.856138,0.950699,3.970137,2.132052,2.087286,1.975371
0.569502,5.067975,0.608890,4.495225,0.021346,0.020897,0.019773
0.191347,0.975607,0.435321,5.318582,0.160695,0.157312,0.148855
0.064824,4.625402,0.671957,0.726422,6.098588,5.970325,5.649666
0.855725,4.574847,0.576123,4.646050,0.135545,0.132692,0.125558
0.311243,1.532587,0.086583,0.747018,1.848678,1.809759,1.712460
0.127155,1.623225,0.642297,5.229248,5.713177,5.593094,5.292886
0.153003,4.890155,0.453263,5.699766,2.229843,2.182899,2.065539
1.325904,1.711421,1.484393,2.193155,0.276839,0.271011,0.256441
0.064437,0.763689,1.322883,2.912693,22.986940,22.656528,21.830498
0.288970,3.783445,0.075662,6.048116,0.009680,0.009476,0.008966
0.145755,5.047685,0.743241,5.732319,1.468879,1.437964,1.360678
0.987434,0.077377,0.676786,6.155932,0.000237,0.000232,0.000220
0.656568,2.006995,0.220021,0.697577,0.012457,0.012195,0.011539
0.135191,4.768003,1.061777,0.799494,15.982513,15.672752,14.898349
0.274337,4.050198,1.030260,4.314754,0.050651,0.049587,0.046926
0.574044,1.650551,1.049984,0.758641,0.948872,0.928936,0.879097
0.114813,4.722743,0.789678,2.938270,7.127082,6.977550,6.603721
0.316934,1.262109,0.694795,1.827378,0.201085,0.196852,0.186269
